biz_name,Latitude,Longitude,email
Leonor's Sweaty Green Meatshop,52.48747,13.354598,lsgm@outlook.com
Zainab's Stinky Yellow Shithouse,52.572362,13.488059,zsys@yahoo.biz
Gilad's Slutty Blue Whorehouse,52.58847,13.465711,gsbw@yahoo.biz
Guntur's Stinky Yellow Brewery,52.619914,13.50422,gsyb@yahoo.biz
Leonor's Unforgivable Yellow Spaeti,52.444208,13.391975,luys@gmail.com
Michel's British Green Whorehouse,52.576079,13.339131,mbgw@outlook.com
Gilad's Toxic Blue Meatshop,52.546027,13.503801,gtbm@mail.de
Qurtaysh's Abusive Brewery,52.429729,13.407211,qab@gmx.de
Migel's Impressive Red Shithouse,52.585887,13.436547,mirs@outlook.com
Mihailo's Shitty Kebabshop,52.583516,13.455299,msk@mail.de
Gilad's Toxic Magenta Spaeti,52.487004,13.43204,gtms@gmx.de
Ksenia's Abusive Alehouse,52.564142,13.307648,kaa@outlook.com
Hector's Unforgivable Whorehouse,52.448968,13.320718,huw@mail.de
Gilad's Disgusting Orange Kiosk,52.479538,13.344358,gdok@gmail.com
Horatio's Disgusting Magenta Shithouse,52.477306,13.428473,hdms@outlook.com
Alina's Crappy Deli,52.423708,13.353449,acd@gmail.com
Sasha's Cantankerous Green Bar,52.619293,13.347459,scgb@outlook.com
Horatio's Abusive Kiosk,52.606539,13.46338,hak@yahoo.biz
Baba's Pathetic Bar,52.581422,13.4657,bpb@gmx.de
Kat's Sweaty Magenta Whorehouse,52.470116,13.468371,ksmw@gmail.com
Qurtaysh's Humbug Whorehouse,52.614924,13.339309,qhw@outlook.com
Migel's Hilarious Red Whorehouse,52.553262,13.452749,mhrw@mail.de
Leonor's Delicious Orange Brewery,52.483176,13.354063,ldob@outlook.com
Michel's Pathetic Meatshop,52.473838,13.417858,mpm@mail.de
Hector's Basic Spaeti,52.505682,13.446944,hbs@gmx.de
Ksenia's Pathetic Red Whorehouse,52.42884,13.377486,kprw@mail.de
Alina's Cowardly Orange Spaeti,52.486659,13.41016,acos@outlook.com
Zainab's Disgusting Orange Shithouse,52.56172,13.496398,zdos@outlook.com
Alina's Disgusting Alehouse,52.596344,13.332292,ada@yahoo.biz
Sasha's Abhorrent Bar,52.609252,13.326015,sab@mail.de
Leonor's Cowardly Kebabshop,52.525991,13.482547,lck@yahoo.biz
Horatio's Ridiculous Deli,52.537475,13.470088,hrd@gmx.de
Mihailo's Delicious Alehouse,52.60312,13.387743,mda@gmx.de
Maya's Hilarious Deli,52.432648,13.497066,mhd@mail.de
Kat's Rotten Meatshop,52.57801,13.339746,krm@outlook.com
Migel's British Kebabshop,52.527218,13.43339,mbk@gmx.de
Gilad's Intolerable Red Shithouse,52.573519,13.425454,girs@gmail.com
Qurtaysh's Cantankerous Shithouse,52.459673,13.373014,qcs@gmx.de
Leonor's Rotten Deli,52.598587,13.332242,lrd@outlook.com
Guntur's Cantankerous Green Spaeti,52.608247,13.447661,gcgs@gmx.de
Zainab's Crappy Kebabshop,52.479721,13.504296,zck@gmx.de
Leandra's Toxic Purple Kiosk,52.548291,13.307654,ltpk@gmx.de
Leonor's Crappy Magenta Whorehouse,52.535026,13.347878,lcmw@gmx.de
Maqbool's Abusive Meatshop,52.439819,13.435411,mam@mail.de
Alex's Unbelievable Shithouse,52.570018,13.481526,aus@mail.de
Guntur's Intolerable Orange Whorehouse,52.563224,13.36603,giow@yahoo.biz
Maya's Humbug Yellow Shithouse,52.557502,13.502411,mhys@gmail.com
Alina's Addictive Purple Deli,52.614127,13.476494,aapd@mail.de
Zainab's Hilarious Whorehouse,52.50086,13.326003,zhw@gmail.com
Migel's British Orange Meatshop,52.506336,13.364973,mbom@gmx.de
Latrine's Shitty Yellow Kebabshop,52.439691,13.316093,lsyk@yahoo.biz
Leandra's Humbug Magenta Spaeti,52.502361,13.44193,lhms@gmail.com
Maqbool's Nasty Kebabshop,52.533947,13.445062,mnk@yahoo.biz
Guntur's Unforgivable Red Whorehouse,52.565784,13.346606,gurw@gmail.com
Rabi's Rotten Kiosk,52.479333,13.333982,rrk@mail.de
Michel's Sweaty Blue Whorehouse,52.507653,13.423862,msbw@yahoo.biz
Alex's Toxic Shithouse,52.57204,13.430443,ats@yahoo.biz
Maya's Nasty Yellow Bar,52.605364,13.306522,mnyb@gmail.com
Alex's Shitty Green Kebabshop,52.611115,13.502751,asgk@yahoo.biz
Qurtaysh's Shitty Brewery,52.601477,13.388729,qsb@gmail.com
Zainab's Cowardly Red Alehouse,52.468114,13.479661,zcra@gmx.de
Michel's Impressive Shithouse,52.444799,13.397271,mis@gmx.de
Qurtaysh's Shitty Kebabshop,52.52966,13.387899,qsk@outlook.com
Baba's Ridiculous Deli,52.566284,13.487079,brd@yahoo.biz
Ksenia's Humbug Purple Whorehouse,52.580445,13.373071,khpw@gmx.de
Zainab's Crappy Meatshop,52.461058,13.421322,zcm@gmx.de
Mihailo's Shitty Green Deli,52.429541,13.491366,msgd@outlook.com
Noor's Toxic Orange Whorehouse,52.437594,13.472122,ntow@gmail.com
Migel's Unbelievable Spaeti,52.52272,13.315633,mus@outlook.com
Leonor's Shitty Orange Bar,52.422349,13.351389,lsob@mail.de
Guntur's Abhorrent Yellow Bar,52.48046,13.371603,gayb@gmx.de
Horatio's Abhorrent Green Deli,52.442683,13.312147,hagd@gmx.de
Vlad's British Orange Meatshop,52.455727,13.454856,vbom@gmail.com
Maya's Rotten Green Kebabshop,52.505143,13.50215,mrgk@gmail.com
Zainab's Unforgivable Brewery,52.552991,13.37478,zub@mail.de
Kat's Ridiculous Kiosk,52.533022,13.366659,krk@mail.de
Latrine's Rotten Whorehouse,52.49966,13.444336,lrw@outlook.com
Leandra's British Magenta Spaeti,52.517543,13.451978,lbms@outlook.com
Rabi's Pathetic Red Brewery,52.505169,13.499318,rprb@gmail.com
Zainab's Basic Alehouse,52.510347,13.357732,zba@gmail.com
Ramesh's Stinky Shithouse,52.499413,13.396543,rss@outlook.com
Migel's Cantankerous Yellow Bar,52.541834,13.397195,mcyb@gmx.de
Michel's Unbelievable Kiosk,52.469066,13.490401,muk@outlook.com
Guntur's Toxic Orange Whorehouse,52.43847,13.467336,gtow@gmail.com
Guntur's Ridiculous Orange Deli,52.489384,13.36842,grod@outlook.com
Vlad's British Deli,52.581464,13.502028,vbd@yahoo.biz
Migel's Disgusting Alehouse,52.452306,13.339183,mda@yahoo.biz
Leonor's Delicious Spaeti,52.547867,13.385157,lds@gmx.de
Maya's Nasty Meatshop,52.426632,13.408838,mnm@outlook.com
Qurtaysh's Abhorrent Shithouse,52.593676,13.500069,qas@gmail.com
Migel's Unbelievable Magenta Whorehouse,52.434081,13.443677,mumw@outlook.com
Ksenia's Cowardly Deli,52.554191,13.479369,kcd@outlook.com
Leonor's Stinky Blue Meatshop,52.588037,13.408803,lsbm@gmail.com
Guntur's Shitty Yellow Kiosk,52.452342,13.330622,gsyk@mail.de
Sasha's Abusive Blue Kebabshop,52.575367,13.474077,sabk@gmail.com
Zainab's Crappy Deli,52.479912,13.466411,zcd@gmail.com
Rabi's Disgusting Red Deli,52.474092,13.445411,rdrd@outlook.com
Horatio's Crappy Magenta Spaeti,52.492208,13.474476,hcms@gmail.com
Noor's Abusive Yellow Deli,52.514722,13.337825,nayd@gmail.com
Ksenia's Addictive Yellow Spaeti,52.442094,13.344155,kays@gmail.com
